keys;en;fr
AANDRISK_DIALOG_START_LINE_0_PATIENT;"Finally! I have been waiting for AGES!";"Enfin ! j'attends depuis des SIECLES!"
AANDRISK_DIALOG_START_LINE_1_DOCTOR;"Sorry, what can I do for you?";"Veuillez m'excusez, que puis-je pour vous ?"
AANDRISK_DIALOG_START_LINE_2_PATIENT;"Today, I sent one of my poor employees to a memory fixer...";"Récemment, j'i envoyé l'un de mes pauvres employé chez l'un de vos collègues..."
AANDRISK_DIALOG_START_LINE_3_DOCTOR;"(...could it be *this* customer from earlier?)";"(...est-ce qu'il s'agissait de ce patient d'il y a peu ?)"
AANDRISK_DIALOG_START_LINE_4_PATIENT;"...but when he came back, Glenn was in love with aliens!";"...mais quand il est revenu, Glenn était attiré par les alilens !"
AANDRISK_DIALOG_START_LINE_5_DOCTOR;"(By the Cosmic Amnesic, it's Glenn Kestrel!)";"(Par l'Oubli Cosmique, c'est bien Glemm Kestrel !)"
AANDRISK_DIALOG_START_LINE_6_PATIENT;"I saw him k-k-kissing with a Varanid...";"Je l'ai vu... embrasser un... un Varanide"
AANDRISK_DIALOG_START_LINE_7_DOCTOR;"(Oh, boy...)";"(Eh bien...)"
AANDRISK_DIALOG_START_LINE_8_PATIENT;"My precious memories were soiled! *Do* something!";"Mes précieux souvenirs sont souillés de cette vision ! *Faites* quelque chose !"
AANDRISK_DIALOG_GOOD_LINE_0_PATIENT;"Aaah~ I feel so much better!";"Aaah~ Je me sens bien mieux !"
AANDRISK_DIALOG_GOOD_LINE_1_PATIENT;"It truly was a stellar idea.";"C'était une très bonne idée."
AANDRISK_DIALOG_GOOD_LINE_2_PATIENT;"...if I didn't have to wait, it would have been perfect.";"...si seulement j'avais un peu moins attendu, cela aurait été parfait."
AANDRISK_DIALOG_GOOD_LINE_3_PATIENT;"Anyways, I have to go. My time is precious.";"Bien, je dois y aller. Mon temps est précieux."
AANDRISK_DIALOG_NEUTRAL_LINE_0_PATIENT;"Not a great memory... but it'll do.";"Ce n'est pas un souvenir très intéressant... mais ça fera l'affaire."
AANDRISK_DIALOG_NEUTRAL_LINE_1_PATIENT;"Wait, only $400?";"Attendez, seulement $400?"
AANDRISK_DIALOG_NEUTRAL_LINE_2_PATIENT;"Half the investment, half the cash prize.";"Pour un travail à moitié fait, la moitié de la somme suffira."
AANDRISK_DIALOG_NEUTRAL_LINE_3_PATIENT;"I have to go now. My time is precious.";"Je vous laisse. Mon temps est précieux."
AANDRISK_DIALOG_ALIENLOVE_LINE_0_PATIENT;"Dear stars, what an *horrendous* memory!";"Par les étoiles, quel *horrible* souvenir!"
AANDRISK_DIALOG_ALIENLOVE_LINE_1_PATIENT;"And *you* call yourself a memory fixer?";"Et *vous* vous prétendez réparateur de souvenir ."
AANDRISK_DIALOG_ALIENLOVE_LINE_2_PATIENT;"I refuse to pay!";"Je ne paierai pas pour ça!"
