keys;en;fr
CAKESTORY1_DIALOG_START_LINE_0_DOCTOR;"Hi, what can I do for you?";"Bonjour, que puis-je pour vous ?"
CAKESTORY1_DIALOG_START_LINE_1_PATIENT;"Well... It's about my brother.";"Eh bien... C'est à propos de mon frère."
CAKESTORY1_DIALOG_START_LINE_2_PATIENT;"We grew up together on a commercial ship. As far as I remember, we had a close relationship.";"Nou savons grandi ensemble sur un cargo commercial, nous étions très proches."
CAKESTORY1_DIALOG_START_LINE_3_PATIENT;"But on my 16th birthday, he drank too much kick and suddenly started to DESTROY my cake!";"Mes pour mes 16 ans, il s'est saoûlé au kick et a brutalement commencé à détruire mon gâteau !"
CAKESTORY1_DIALOG_START_LINE_4_PATIENT;"I remember him laughing, splashing cream and rockberry jam on the whole party.";"Je me souviens de lui hilare, éclaboussant tout le monde de crème et de confiture de baie-roche..."
CAKESTORY1_DIALOG_START_LINE_5_DOCTOR;"(Classic chilhood memory)";"(Souvenir d'enfance classique)"
CAKESTORY1_DIALOG_START_LINE_6_PATIENT;"I want you to fix this memory, so we can patch things up with my brother.";"Je voudrais que vous changiez ce souvenir, pour que nous puissions aller de l'avant avec mon frère."
CAKESTORY1_DIALOG_START_LINE_7_PATIENT;"...it's been 35 years and I couldn't find it in me to forgive him.";"Cela fait 35 ans... Et je n'arrive toujours pas à lui pardonner."
CAKESTORY1_DIALOG_START_LINE_8_DOCTOR;"Alright, let's fix your relationship. Stuck a patch on your temple, and we'll get started.";"Très bien, essayons de réparer cette relation. Mettez un patch sur votre tempe et on démarre."
CAKESTORY1_DIALOG_GOOD_LINE_0_PATIENT;"AH AH AH! What a nice cream cake battle!";"AH AH AH! Quel joyeuse bataille de crême de gâteau !"
CAKESTORY1_DIALOG_GOOD_LINE_1_PATIENT;"Thank you Doctor. I feel much better. Can't wait to see him.";"Merci docteur. Je me sens beaucoup mieux. J'ai tellement hâte de le revoir."
CAKESTORY1_DIALOG_NOCHANGE_LINE_0_PATIENT;"Why am I still feeling uneasy about my brother?";"Pourquoi ai-je toujours du ressentiment envers mon frère ?"
CAKESTORY1_DIALOG_NOCHANGE_LINE_1_DOCTOR;"I replaced your traumatic experience with a more 'neutral' memory.";"J'ai remplacé un souvenir traumatique avec un souvenir plus ""neutre""."
CAKESTORY1_DIALOG_NOCHANGE_LINE_2_PATIENT;"You were supposed to get rid of my bad feelings!";"Vous étiez supposés me débarasser de ces émotions !"
CAKESTORY1_DIALOG_NOCHANGE_LINE_3_DOCTOR;"Well, I did my best to preserve your identity.";"J'ai fais de mon mieux pour préserver votre identité."
CAKESTORY1_DIALOG_NOCHANGE_LINE_4_DOCTOR;"...but I am sure you can work it out with your brother, can't you?";"Vous serez certainement capable de faire le chemin restant avec votre frère."
CAKESTORY1_DIALOG_NOCHANGE_LINE_5_PATIENT;"This ain't what I paid for. I want a discount.";"Ce n'est pas pour ça que j'ai payé. Je veux un rabais."
