keys;en;fr
CRIMINAL1_DIALOG_START_LINE_0_DOCTOR;"Wait, who are you?";"Qui.. Qui êtes-vous ?"
CRIMINAL1_DIALOG_START_LINE_1_PATIENT;"Relax, doc... You can call me Le Douc.";"Du calme toubib... Vous pouvez m'appeler Le Douc."
CRIMINAL1_DIALOG_START_LINE_2_PATIENT;"Now listen carefully...";"Ecoutez-moi attentivement..."
CRIMINAL1_DIALOG_START_LINE_3_PATIENT;"I need a single memory to be erased before the watchers catch me:";"Il faudrait me retirer un simple souvenir avant que l'Oeil ne m'attrappe"
CRIMINAL1_DIALOG_START_LINE_4_PATIENT;"The memory of me selling a *receptacle* to a client.";"Un souvenir de moi vendant un ""receptacle"" à un client."
CRIMINAL1_DIALOG_START_LINE_5_DOCTOR;"(Receptacle? Human bodies, stolen away and modified to carry an AI!)";"(Un réceptacle? des corps humains, volés et modifiés pour abriter une IA!)"
CRIMINAL1_DIALOG_START_LINE_6_PATIENT;"I'll give you $1200, and $1200 when you put it back.";"Je vous offre 1200$ maintenant, et la même chose lorsque vous remettrez le souvenir."
CRIMINAL1_DIALOG_START_LINE_7_DOCTOR;"(That's illegal even on the outskirts of Arcturus! I must refuse...)";"(C'est complètement illégal, même sur la bordure d'Arcturus ! Je dois refuser...)"
CRIMINAL1_DIALOG_START_LINE_8_PATIENT;"Don't go thinking you have a choice. I know where you live.";"N'imaginez pas avoir le choix, j'ai beaucoup d'infos sur vous et je peux vous retrouver..."
CRIMINAL1_DIALOG_GOOD_LINE_0_PATIENT;"My birdies were right: doc, you rock...";"Comme on me l'a assuré toubib : vous êtes un gars sûr..."
CRIMINAL1_DIALOG_GOOD_LINE_1_PATIENT;"Now. I don't remember what you extracted, but my friends know, and I *will* come back for it.";"Je me souviens pas de ce que vous avez extrait, mais mes amis oui, et je viendrais le récupérer."
CRIMINAL1_DIALOG_GOOD_LINE_2_PATIENT;"Til we meet again.";"A très bientôt."
CRIMINAL1_DIALOG_GOOD_LINE_3_DOCTOR;"(What should I do?)";"(Que puis-je faire ?)"
CRIMINAL1_DIALOG_GOOD_LINE_4_DOCTOR;"(If I dispose of it, Le Douc will come back for me...)";"(Si je m'en débarasse, Le Douc me fera la peau...)"
CRIMINAL1_DIALOG_GOOD_LINE_5_DOCTOR;"(But if I keep it, I might go to galactic jail!)";"(Mais si je le garde, je pourrais finir en prison galactique !)"
CRIMINAL1_DIALOG_NOCHANGE_LINE_0_PATIENT;"Did you make a mistake, doc?";"Vous avez fait une petite erreur doc ?"
CRIMINAL1_DIALOG_NOCHANGE_LINE_1_PATIENT;"Try one more time. RIGHT. NOW.";"On réessaye. IM-ME-DIA-TE-MENT."
