keys;en;fr
FULBERTE_DIALOG_START_LINE_0_PATIENT;"Hello. I've heard that you could... *change* some of my memories?";"Bonjour. On m'a dit que vous pouviez... *changer* certains de mes souvenirs ?"
FULBERTE_DIALOG_START_LINE_1_DOCTOR;"That's right. First time?";"Tout à fait. C'est la première fois ?"
FULBERTE_DIALOG_START_LINE_2_DOCTOR;"Don't worry, we've all been there. What memory do you want to change?";"Pas d'inquiétude, on s'est tous retrouvé dans cette situation. Quel souvenir voulez-vous modifier ?"
FULBERTE_DIALOG_START_LINE_3_PATIENT;"You see, I have been a Devotee of Gaia for all my life.";"Vous voyez, j'ai été une Dévote de Gaïa une grande partie de ma vie."
FULBERTE_DIALOG_START_LINE_4_PATIENT;"Trying to restore our wounded Earth with my devotee friends...";"Je me suis battu pour remettre en état notre Terre blessé au sein de mon mouvement..."
FULBERTE_DIALOG_START_LINE_5_PATIENT;"But a couple of years ago, I bumped into a young astronaut and I fell in love.";"Mais il y a quelques années, j'ai rencontré un.e astronaute et je suis tombée amoureuse."
FULBERTE_DIALOG_START_LINE_6_PATIENT;"I ran away with them. Got a new haircut, tried Hyper-Paprika for the first time...";"Nous nous sommes enfui.e.s. J'ai changé de coupe, essayé l'Hyper-Paprika pour la première fois..."
FULBERTE_DIALOG_START_LINE_7_PATIENT;"I had the best time of my life!";"J'ai vécu la vie au maximum !"
FULBERTE_DIALOG_START_LINE_8_PATIENT;"But sometimes, I think about my former friends... they were like family.";"Mais parfois, je pense à mes anciens ami.e.s... C'était une famille."
FULBERTE_DIALOG_START_LINE_9_PATIENT;"Can you help me overcome my regrets?";"Pourriez vous m'aider à résoudre ces regrets ?"
FULBERTE_DIALOG_FORGETFRIENDS_LINE_0_PATIENT;"...I feel relieved. As if an heavy weight was gone.";"...Je me sens soulagée. Vous m'avez ôté un poids."
FULBERTE_DIALOG_FORGETFRIENDS_LINE_1_PATIENT;"Now, if you'll excuse me... Life is short, and I don't want to spend another minute away from my love.";"Bien, si vous voulez m'excuser... La vie est courte et je ne veux pas apsser un instant de plus loin de mon amour."
FULBERTE_DIALOG_FORGETLOVE_LINE_0_PATIENT;"...I feel empty. What happened?";"... Je me sens si vide. Que s'est-il passé ?"
FULBERTE_DIALOG_FORGETLOVE_LINE_1_DOCTOR;"Are you alright?";"Est-ce que vous vous sentez bien ."
FULBERTE_DIALOG_FORGETLOVE_LINE_2_PATIENT;"I'm not sure. I'm not *hurt*, but it's like... as if... there was a hole in my chest.";"Je ne sais pas. Je ne suis pas ""blessée"" mais, c'est comme si... J'avais un immense vide en moi."
FULBERTE_DIALOG_FORGETLOVE_LINE_3_PATIENT;"I must leave now. I want to see my family.";"Je vais y aller maintenant. Je veux retrouver ma famille."
FULBERTE_DIALOG_NOCHANGE_LINE_0_PATIENT;"So, you choose not to erase anything. Why?";"Vous n'avez rien effacé. Pourquoi ?"
FULBERTE_DIALOG_NOCHANGE_LINE_1_PATIENT;"I think your regrets are part of your story. You should value them, too";"Vos regrets font partie de votre histoire. Ils ont de la valeur eux aussi."
FULBERTE_DIALOG_NOCHANGE_LINE_2_PATIENT;"They help you make the right choices. They make you a better person.";"Ils vous aident à faire les bons choix. Ils font de vous une meilleure personne."
FULBERTE_DIALOG_NOCHANGE_LINE_3_PATIENT;"Indeed...";"Je comprends..."
FULBERTE_DIALOG_NOCHANGE_LINE_4_PATIENT;"...";"..."
FULBERTE_DIALOG_NOCHANGE_LINE_5_PATIENT;"...I cannot pay you for nothing, but I get it now. Thank you, doctor.";"Je ne peux pas vous payer  alors que vous n'avez rien fait. Mais je vous remercie docteur."
