keys;en;fr
HARMAGIAN_DIALOG_START_LINE_0_PATIENT;"Hi doc.";"Salut doc."
HARMAGIAN_DIALOG_START_LINE_1_DOCTOR;"(Isn't that... Glenn Kestrel, the famous journalist from Mars-Reports?!)";"(Est-ce que c'est... Glenn Kestrel, le visage de Mars-Reports?!)"
HARMAGIAN_DIALOG_START_LINE_2_DOCTOR;"Hi, what brings you here today?";"Bonjour, que puis-je pour vous ?"
HARMAGIAN_DIALOG_START_LINE_3_PATIENT;"Well, I guess it's all the aliens' fault again...";"Hmm, ces aliens me causent encore des problèmes..." 
HARMAGIAN_DIALOG_START_LINE_3_DOCTOR;"(I remember now... his show is not very friendly towards aliens)";"(Je me souviens maintenant... son émission est plutôt méprisante envers les aliens)" 
HARMAGIAN_DIALOG_START_LINE_4_PATIENT;"Recently, I was humiliated by an Helicoid merchant... Damned talking snails.";"Il y a peu, j'ai été humilié par un marchant Hélicoïde... Ces infâmes escargots parlants." 
HARMAGIAN_DIALOG_START_LINE_5_PATIENT;"But since that *incident*, my... animosity has become a liability.";"Mais depuis cet ""incident"", mon... aggressivité... est devenue problématique." 
HARMAGIAN_DIALOG_START_LINE_6_PATIENT;"My superior wants my memory fixed. 'For public image', she said.";"Ma supérieure veut que ""réadapter"" mon comportement. ""Pour l'image publique"", comme elle dit." 
HARMAGIAN_DIALOG_START_LINE_7_DOCTOR;"Anything for the news, I guess. Put a patch on, I'll get started.";"Tout pour l'actualité, je suppose. Mettez un patch, on va changer ça." 

HARMAGIAN_DIALOG_ALIENLOVE_LINE_0_DOCTOR;"Tell me now: what do you think of Helicoids?";"Vérifions-ça: que vous inspirent les Hélicoïdes ?"
HARMAGIAN_DIALOG_ALIENLOVE_LINE_1_PATIENT;"They are disgusting with their little tentacles... but I admire their technology";"Leurs petits tentacules sont repoussants... mais j'admire leurs technologie."
HARMAGIAN_DIALOG_ALIENLOVE_LINE_2_DOCTOR;"What about Varanids?";"Et les Varanides?"
HARMAGIAN_DIALOG_ALIENLOVE_LINE_3_PATIENT;"Actually, they look kinda hot.";"Et bien, il y a quelque chose d'attirants chez eux..."
HARMAGIAN_DIALOG_ALIENLOVE_LINE_4_DOCTOR;"(Ok, maybe I went too far...)";"(Peut-être suis-je aller trop loin...)"
HARMAGIAN_DIALOG_ALIENLOVE_LINE_5_PATIENT;"Anyways, I feel great. Thanks, doc!";"Super, je me sens très bien. Merci Doc !"

HARMAGIAN_DIALOG_ALIENFEAR_LINE_0_DOCTOR;"Tell me now: what do you think of Helicoids?";"Vérifions-ça: que vous inspirent les Hélicoïdes ?"
HARMAGIAN_DIALOG_ALIENFEAR_LINE_0_PATIENT;"They are so disgusting with all their little tentacles. Gross.";"Leurs petits tentacules sont repoussants... Beurk."
HARMAGIAN_DIALOG_ALIENFEAR_LINE_0_DOCTOR;"What about Varanids?";"Et les Varanides?"
HARMAGIAN_DIALOG_ALIENFEAR_LINE_0_PATIENT;"Those pesky lizards? Always acting like they're superior to us.";"Ces insupportables lézards? Ils ont toujours l'air de se croire meilleur que nous."
HARMAGIAN_DIALOG_ALIENFEAR_LINE_0_DOCTOR;"(Still as species as ever)";"(Toujours aussi spéciste)"
HARMAGIAN_DIALOG_ALIENFEAR_LINE_0_PATIENT;"...but I feel a little more composed. I don't know what you fixed, but you did it.";"...je me sens quand même un peu plus serein. Je ne sais pas ce que vous avez changé, mais ça fait l'affaire."
HARMAGIAN_DIALOG_ALIENFEAR_LINE_0_PATIENT;"Thanks, doc!";"Merci, doc!"

HARMAGIAN_DIALOG_ALIENHATE_LINE_0_PATIENT;"Wait... why did you not erase this memory?";"Attendez... Pourquoi ne pas avoir effacé ce souvenir ?"
HARMAGIAN_DIALOG_ALIENHATE_LINE_1_DOCTOR;"I think what you need is not memory fixing. It is empathy.";"Je crois que ce qu'il vous faut n'est pas de changer vos souvenirs, mais d'apprendre l'empathie."
HARMAGIAN_DIALOG_ALIENHATE_LINE_2_PATIENT;"I beg you pardon?";"Pardon !?"
HARMAGIAN_DIALOG_ALIENHATE_LINE_3_DOCTOR;"Look, if you really want to be politically correct, maybe you should try something else.";"Ecoutez, si vraiment ce que vous chercher c'est de devenir ""politiquement correct"", vous devriez essayer autre chose."
HARMAGIAN_DIALOG_ALIENHATE_LINE_4_DOCTOR;"Listen to other species, learn more about their culture...";"Echangez avec les autres espèces, renseignez-vous sur leurs cultures..."
HARMAGIAN_DIALOG_ALIENHATE_LINE_5_PATIENT;"Neuroplacent-space-bugshit!";"Bordel de spatiomerde de neuromouche !"
HARMAGIAN_DIALOG_ALIENHATE_LINE_6_PATIENT;"I'm outta here. And don't expect credits!";"Je ne resterais pas une minute de plus avec vous. Et n'espérez pas être payé."

