keys;en;fr
TUTO_DIALOG_START_LINE_0_PATIENT;"Hi. My name is... A..ma..no?";"Bonjour. Je m'appelle... A..ma..no?"
TUTO_DIALOG_START_LINE_1_DOCTOR;"(Is that... Memory corruption ?)";"(Hm... Corruption de mémoire ?)"
TUTO_DIALOG_START_LINE_2_DOCTOR;"Alright, let me ask you a few questions, okay?";"Je vais vous poser quelques questions."
TUTO_DIALOG_START_LINE_3_DOCTOR;"Does your memory feel ""fuzzy""?";"Ressentez-vous un ""flou"" quand vous essayer de vous souvenir ?" 
TUTO_DIALOG_START_LINE_4_DOCTOR;"Not knowing exactly where you are? Having trouble learning new information?";"Un sentiment de difficulté à savoir où vous êtes ? A intégrer de nouvelles informations ?"
TUTO_DIALOG_START_LINE_5_PATIENT;"How do you know?";"Comment avez-vous deviné ?"
TUTO_DIALOG_START_LINE_6_DOCTOR;"Partly because of the neurojack on your occipital bone...";"En partie grâce au neuroconnecteur dans votre occiput..."
TUTO_DIALOG_START_LINE_7_DOCTOR;"...but mostly because this is my job. I am a [MEMORY FIXER].";"... mais principalement car c'est mon travail. Je suis [Réparateur de mémoire]."
TUTO_DIALOG_START_LINE_8_DOCTOR;"Ok, next question. What is the last thing you remember?";"Bien, dernière question. Quelle est la dernière chose dont vous vous souvenez ?"
TUTO_DIALOG_START_LINE_9_PATIENT;"I was in a... bar... The barman told me to call you.";"J'étais... dans un bar... Le barman m'a envoyé vers vous."
TUTO_DIALOG_START_LINE_10_DOCTOR;"(He was probably robbed by someone at this bar. They hijacked his memory to cover their tracks...)";"(On l'a probablement volé là-bas. Le piratage de mémoire a servi à effacé les traces...)"
TUTO_DIALOG_START_LINE_11_DOCTOR;"(...but they ended up damaging it)";"(... Mais ils l'ont surtout endommagée.)"
TUTO_DIALOG_START_LINE_12_DOCTOR;"Alright. Now, I want you to connect to your neurojack.";"Très bien. Je vais vous demander de brancher votre neuroconnecteur."
TUTO_DIALOG_START_LINE_13_DOCTOR;"First, I will look for a [DAMAGED MEMORY] slot and [ERASE] it.";"Je vais commencer par repéré une zone de [MEMOIRE DETERIORIE] et l'[EFFACER]"
TUTO_DIALOG_START_LINE_14_DOCTOR;"Then, I will select the resulting [EMPTY MEMORY] slot and [IMPLANT] a new memory into it.";"Dans cette zone de [MEMOIRE VIDE], je vais [IMPLANTER] un nouveau souvenir."
TUTO_DIALOG_START_LINE_15_PATIENT;"Does it... hurt?";"Est-ce que... ça fait mal ?"
TUTO_DIALOG_START_LINE_16_DOCTOR;"Don't worry, it is absolutely painless.";"Aucune inquiétude, c'est sans douleur."
TUTO_DIALOG_START_LINE_17_DOCTOR;"(Well, as long as I don't implant an incoherent memory...)";"(Tant que je n'implante pas un souvenir incohérent...)"
TUTO_DIALOG_START_LINE_18_DOCTOR;"Are you ready?";"Pouvons nous démarrer ?"
TUTO_DIALOG_START_LINE_19_PATIENT;"Yes, I am.";"Oui, allez-y"
TUTO_DIALOG_DRUNK_LINE_0_PATIENT;"I met with ...a friend?";"J'ai... retrouvé un ami là-bas ?"
TUTO_DIALOG_DRUNK_LINE_1_DOCTOR;"Yes, surely you can think of someone?";"Oui, j'imagine que vous devriez pouvoir vous souvenir de qui il s'agissait..."
TUTO_DIALOG_DRUNK_LINE_2_PATIENT;"I-I think you are right. I remember meeting... Vahn at... Lizzie's.";"V-Vous avez raison. J'ai vu... Vahn... au Lizzie."
TUTO_DIALOG_DRUNK_LINE_3_DOCTOR;"I bet Vahn likes a good bottle of Varanid wine, don't they?";"Je parie que Vahn aime un peu trop une bonne bouteille de Varanide, non ?"
TUTO_DIALOG_DRUNK_LINE_4_DOCTOR;"Anyways, you should go home. It will probably pass after a good rest.";"Très bien, vous pouvez rentrer. Un peu de repos suffira pour être en forme."
TUTO_DIALOG_DRUNK_LINE_5_DOCTOR;"This time it's for free, but next time you better come with credits, okay?";"C'est gratuit aujourd'hui mais revenez avec des crédits la prochaine fois, ok ?"
TUTO_DIALOG_THIEF_LINE_0_PATIENT;"I was robbed? Oh, stars! How come I don't remember?";"On m'a volé ? Par les étoiles ! Comment-est possible de ne pas s'en souvenir ?"
TUTO_DIALOG_THIEF_LINE_1_DOCTOR;"They probably used your neurojack as an entry point to your memory.";"Votre neurojack leur a probablement permis d'accéder à votre mémoire."
TUTO_DIALOG_THIEF_LINE_2_DOCTOR;"You should be fine now. You should probably go home and get some rest.";"Vous devriez vous sentir mieux maintenant. Rentrez chez vous et prenez un peu de repos."
TUTO_DIALOG_THIEF_LINE_3_DOCTOR;"If the symptoms persist until tomorrow, you can come back. With credits.";"Revenez si les symptômes persistent demain. Mais avec de l'argent." 
