keys;en;fr
PICNIC2_DIALOG_START_LINE_0_DOCTOR;"Oh, you're back?";"Oh, vous êtes de retour ?"
PICNIC2_DIALOG_START_LINE_0_PATIENT;"Hi, doc. I've...";"Bonjour docteur. Je..."
PICNIC2_DIALOG_START_LINE_1_PATIENT;"You see, I've started a new job at Hornbills, the social network, and...";"J'ai commencé à travailler pour le Calao, le réseau social, et..."
PICNIC2_DIALOG_START_LINE_2_DOCTOR;"...";"..."
PICNIC2_DIALOG_START_LINE_3_PATIENT;"...let's say some people post crazy stuff.";"... disons que certaines personnes postent des atrocités." 
PICNIC2_DIALOG_START_LINE_4_DOCTOR;"I see.";"Je vois"
PICNIC2_DIALOG_START_LINE_5_PATIENT;"No you don't.";"Non, vous ne pouvez pas imaginer ça."
PICNIC2_DIALOG_START_LINE_6_DOCTOR;"(Actually, I *do*...)";"(Et bien maintenant, si."
PICNIC2_DIALOG_START_LINE_7_DOCTOR;"(I need to do something to help him out of this memnosic loop.)";"Il faut que je le sorte de cette boucle.)"
PICNIC2_DIALOG_START_LINE_8_DOCTOR;"(...maybe new professional goals?)";"(...peut-être lui inspirer un changement de carrière ?)"
PICNIC2_DIALOG_ERASEDTRAUMA_LINE_0_DOCTOR;"I...";"Je..."
PICNIC2_DIALOG_ERASEDTRAUMA_LINE_1_DOCTOR;"...feel like I could sleep the whole day.";"...pourrais m'endormir jusqu'à demain soir."
PICNIC2_DIALOG_ERASEDTRAUMA_LINE_2_DOCTOR;"I still remember the infinite non-sensical bots...";"Je me souviens encore du flux infini et absurdes des messages de bots..."
PICNIC2_DIALOG_ERASEDTRAUMA_LINE_3_DOCTOR;"But I feel lighter. Thank you, doc.";"Mais je me sens nettemetn plus léger. Merci, docteur."
PICNIC2_DIALOG_JOBERASED_LINE_0_PATIENT;"I...";"Je..."
PICNIC2_DIALOG_JOBERASED_LINE_1_PATIENT;"I don't remember why I'm here, but I guess that means you did your job well.";"Je ne me souviens plus de pourquoi je suis là, mais j'imagine que ça veut dire que vous avez bien fait votre travail."
PICNIC2_DIALOG_JOBERASED_LINE_2_PATIENT;"I feel exhausted, but I'll rest tomorrow.";"Je me sens fatigué, mais je me reposerais demain."
PICNIC2_DIALOG_JOBERASED_LINE_3_PATIENT;"I need to find a job.";"Je dois trouver un travail"
PICNIC2_DIALOG_JOBERASED_LINE_4_PATIENT;"...need... job.";"...trouver... travail."
PICNIC2_DIALOG_GOODENDING_LINE_0_PATIENT;"I...";"Je..."
PICNIC2_DIALOG_GOODENDING_LINE_1_PATIENT;"...feel like I could sleep the whole day.";"...pourrais dormir jusqu'à demain soir."
PICNIC2_DIALOG_GOODENDING_LINE_2_PATIENT;"But I feel lighter. And I know what I want to do.";"Mais je me sens nettement mieux. Et je crois que j'ai envie de changer de voie."
PICNIC2_DIALOG_GOODENDING_LINE_3_PATIENT;"Thank you, doc!";"Merci, docteur!"
