keys;en;fr
Error1_DIALOG_START_LINE_0_DOCTOR;"(Techno-dammit, I messed up!)";"(Technosang, je me suis planté !)"
Error1_DIALOG_START_LINE_1_DOCTOR;"(Quick, let's erase everything that can lead back to me...)";"(Vite, effaçons tout ce qui pourrait mener à moi...)"
Error1_DIALOG_START_LINE_2_DOCTOR;"(There. Never happened.)";"(Voilà... Il ne s'est rien passé.)"
Error1_DIALOG_START_LINE_3_DOCTOR;"(I should be more cautious from now on.)";"(Je devrais faire plus attention maintenant.)"
Error2_DIALOG_START_LINE_0_DOCTOR;"(No no no no no...)";"(Non non non non non...)"
Error2_DIALOG_START_LINE_1_DOCTOR;"(I can't do that)";"(Ce n'est pas possible de faire ça)"
Error2_DIALOG_START_LINE_2_DOCTOR;"(Those patient's memory might degenerate from the inconsistency...)";"(Ses souvenirs pourraient complètement dégénerer à cause de cette inconhérence...)"
Error2_DIALOG_START_LINE_3_DOCTOR;"(The Watchers might know...)";"(L'Oeuil pourrait s'en rendre compte...)"
Error2_DIALOG_START_LINE_4_DOCTOR;"(I can't be caught, I must severe all links as best as I can.)";"(Je ne peux pas lever des doutes, je dois couper tous les liens entre nous.)"
Error2_DIALOG_START_LINE_5_DOCTOR;"(I'll erase traces from my memories too...)";"(Je vais effacer également les traces dans ma propre mémoire...)"
Error3_DIALOG_START_LINE_0_DOCTOR;"(Poor thing... What did I miss ?)";"(Pauvre chose... qu'ais-je loupé ?)"
Error3_DIALOG_START_LINE_1_DOCTOR;"(Hope a partial reset will work.)";"(J'espère qu'un reboot partial suffira à son rétablissement.)"
Error3_DIALOG_START_LINE_2_DOCTOR;"(I'll remove traces of my intervention...)";"(Je vais supprimer toute trace de mon intervention...)"
Error3_DIALOG_START_LINE_3_DOCTOR;"(Then send an anonymous alert at his place.)";"(Puis envoyer une alerte anonyme chez lui.)"
Error3_DIALOG_START_LINE_4_DOCTOR;"(I'll do better next time.)";"(Je ferais mieux la prochaine fois.)"
Error3_DIALOG_START_LINE_5_DOCTOR;"(I'll erase my own memory to stay confident...)";"(Je vais effacer mon propre souvenir pour ne pas trop me déstabiliser...)"
Error3_DIALOG_START_LINE_6_DOCTOR;"(Did I ever do that before by the way ?)";"(Aurais-je pu déjà faire ça avant ?)"
Error3_DIALOG_START_LINE_7_DOCTOR;"...";"..."
Error3_DIALOG_START_LINE_8_DOCTOR;"(Oh, I didn't have any patient today. Day passed so fast)";"(Tiens, il n'y a pas eu de patient aujourd'hui. La journée est passée si vite.)"
COPSCOMING_DIALOG_START_LINE_0_PATIENT;"Dr. Lethe !";"Dr. Lethe !"
COPSCOMING_DIALOG_START_LINE_1_PATIENT;"You're under arrest for the destruction of eleven minds.";"Vous êtes en état d'arrestation pour la dégradation de la personalité de onze victimes."
COPSCOMING_DIALOG_START_LINE_2_DOCTOR;"Eleven ?! I don't remember any of that !";"Onze ?! Je n'ai aucun souvenir de tout ça !"
COPSCOMING_DIALOG_START_LINE_3_PATIENT;"We do have proofs !";"Nous avons des preuves !"
COPSCOMING_DIALOG_START_LINE_4_PATIENT;"We investigated the bodies of ";"Nous avons retrouvé les corps de "
COPSCOMING_DIALOG_START_LINE_5_PATIENT;"An investigations on the three of them led us to you. You will pay for you crime.";"Les trois avaient des liens avec vous. Vous paierez pour vos crimes..."
COPSCOMING_DIALOG_START_LINE_6_PATIENT;"In the Eternal Slop of the Galactic Jail.";"...dans le Slop Eternel de la Prison Galactique."
