keys;en;fr
AANDRISK_THREAD_SUM_UP;Bianca wants to forget the memory of her employee kissing with a Varanid.;Bianca veut oublier le souvenir de son employé qui embrasse un.e varanide.
AANDRISK_START_MEMORY_TITLE;Memno-manager;Memno-manager
AANDRISK_START_MEMORY_DESC;Today I sent an human employee to a memory fixer.;J'ai envoyé un employé humain chez un réparateur de mémoire.
AANDRISK_INT1_MEMORY_TITLE;Alien kiss;Patin alien
AANDRISK_INT1_MEMORY_DESC;I remember a human making out with an alien.;Je me souviens d'un humain embrassant un alien.
AANDRISK_END_MEMORY_TITLE;Losing control;Perte de contrôle
AANDRISK_END_MEMORY_DESC;The situation is not under my control. I feel disgusted and infuriated.;Cette situation n'est pas ce que j'avais prévu. Je suis dégoûtée et furieuse.
ALZHEIMER1_THREAD_SUM_UP;Retrieve the password of Prima's precious digiphone.;Récupérez le mot de passe du précieux digiphone de Prima.
ALZHEIMER1_START_MEMORY_TITLE;Digiphone;Digiphone
ALZHEIMER1_START_MEMORY_DESC;I own a digiphone filled with precious memories of my family, my friends, my trips...;Je possède un digiphone plein de souvenirs qui me sont chers: famille, amis, voyages...
ALZHEIMER1_INT1_MEMORY_TITLE;[Corrupted];[Corrompu]
ALZHEIMER1_INT1_MEMORY_DESC;*m%|\|wh4|_3*;*m%|\|wh4|_3*
ALZHEIMER1_END_MEMORY_TITLE;Fear of loss;Crainte
ALZHEIMER1_END_MEMORY_DESC;I am so scared of losing these memories!;Je suis tellement effrayée de perdre ses souvenirs.
ALZHEIMER2_THREAD_SUM_UP;Retrieve the location of Vera Prima's precious scrib.;Retrouvez le précieux digiphone de Vera Prima.
ALZHEIMER2_INT1_MEMORY_TITLE;[Corrupted];[Corrompu]
ALZHEIMER2_INT1_MEMORY_DESC;U%r?aDa8%?W?w0%Y;U%r?aDa8%?W?w0%Y
CAKESTORY1_THREAD_SUM_UP;Tutor wants to erase a traumatic memory with his brother;Tutor souhaite effacer un mauvais souvenir de son frère pour renouer avec lui
CAKESTORY1_START_MEMORY_TITLE;Brotherhood;Frères proches
CAKESTORY1_START_MEMORY_DESC;Fond memories of brothers;Des souvenirs heureux entre frères
CAKESTORY1_INT1_MEMORY_TITLE;Cake splash;Gâteau explosé
CAKESTORY1_INT1_MEMORY_DESC;A cake splashed agressively by a drunken brother;Un gâteau détruit par un frère ivre
